URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ValueSet/observation-status"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/CodigoExamen"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/condition-code,ValueSet/VSServicioRequerido,ValueSet/condition-severity"
http://terminology.hl7.org/CodeSystem/condition-clinical,3.0.0,active,"2.16.840.1.113883.4.642.1.1074",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","ValueSet/condition-clinical"
http://terminology.hl7.org/CodeSystem/condition-ver-status,2.0.0,draft,"2.16.840.1.113883.4.642.1.1075",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","ConceptMap/CMHipotesisDiagnosticaCodigoAConditionVerificationStatus,ValueSet/condition-ver-status"
http://terminology.hl7.org/CodeSystem/observation-category,1.0.0,draft,"2.16.840.1.113883.4.642.1.1125",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","ValueSet/observation-category"
http://terminology.hl7.org/CodeSystem/v3-ActCode,9.0.0,active,"2.16.840.1.113883.5.4",ActCode,ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.    *Constraints:* The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems. The coding system will depend on the class of Act, such as LOINC for observations, etc.    Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure.    Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","ValueSet/v3-ActCoverageTypeCode"
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSTipoIdentificador,1.8.11,active,,CSTipoIdentificador,Tipo Identificador,"Tipo Identificador","ValueSet/VSTipoIdentificador,ValueSet/VSIdentificadorPrestador"
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CodPais,1.8.11,active,,CSCodPaises,Códigos de Países,"Codigos definidos para la identificación de países segun norma ISO3166-N","ValueSet/CodPais"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSConsecuenciaAtencionCodigo,0.9.1,active,,CSConsecuenciaAtencionCodigo,Consecuencia Atención Codigo,"Consecuencia Atención Codigo","ValueSet/VSConsecuenciaAtencionCodigo"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSDerivadoParaCodigo,0.9.1,active,,CSDerivadoParaCodigo,Derivado Para,"Derivado Para","ValueSet/VSDerivadoParaCodigo"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSDestinoReferenciaCodigo,0.9.1,active,,CSDestinoReferenciaCodigo,Destino Referencia Codigo,"Destino Referencia Codigo","ValueSet/VSDestinoReferenciaCodigo"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSDocAcreditacionCuidador,0.9.1,active,,CSDocAcreditacionCuidador,Documento Acreditacion Cuidador,"Documento Acreditacion Cuidador","ValueSet/VSDocAcreditacionCuidador"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSEspecialidadBioqca,0.9.1,active,,CSEspecialidadBioqca,Especialidades y Subespecialidades Bioquímicas,"Especialidades y Subespecialidades Bioquímicas","ValueSet/VSEspecialidadBioqca,ValueSet/VSEspecialidades"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSEspecialidadFarma,0.9.1,active,,CSEspecialidadFarma,Especialidades Farmaceúticas o Química Farmaceúticas,"Especialidades Farmaceúticas o Química Farmaceúticas","ValueSet/VSEspecialidades,ValueSet/VSEspecialidadFarma"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSEspecialidadMed,0.9.1,active,,CSEspecialidadMed,EspecialidadMed,"EspecialidadMed","ValueSet/VSEspecialidades,ValueSet/VSEspecialidadMed"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSEspecialidadOdont,0.9.1,active,,CSEspecialidadOdont,Especialidades Odontológicas,"Especialidades Odontológicas","ValueSet/VSEspecialidadOdont,ValueSet/VSEspecialidades"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSEstablecimientoDestinoCodigo,0.9.1,active,,CSEstablecimientoDestinoCodigo,Establecimiento Destino Codigo,"Establecimiento Destino Codigo ejemplos hechos en base a este documento con los [Códigos DEIS del establecimientos](https://datos.gob.cl/dataset/establecimientos-de-salud-vigentes)","ValueSet/VSEstablecimientoDestinoCodigo"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSEstadoCivil,0.9.1,active,,CSEstadoCivil,EstadoCivil,"EstadoCivil","ValueSet/VSEstadoCivil"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSEstadoInterconsulta,0.9.1,active,,CSEstadoInterconsulta,Estado Interconsulta,"Estado Interconsulta","ValueSet/VSEstadoInterconsulta"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSHipotesisDiagnosticaCodigo,0.9.1,active,,CSHipotesisDiagnosticaCodigo,HipotesisDiagnosticaCodigo,"HipotesisDiagnosticaCodigo","ConceptMap/CMHipotesisDiagnosticaCodigoAConditionVerificationStatus,ValueSet/VSHipotesisDiagnosticaCodigo"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSIdentidaddeGenero,0.9.1,active,,CSIdentidaddeGenero,Identidad de Genero,"Identidad de Genero","ValueSet/VSIdentidaddeGenero"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSIndicecomorbilidad,0.9.1,active,,CSIndicecomorbilidad,Indice Comorbilidad,"Indice Comorbilidad","ValueSet/VSIndicecomorbilidad"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSMediodeContacto,0.9.1,active,,CSMediodeContacto,Medio Notificación,"Medio Notificación","ValueSet/VSMediodeContacto"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSModalidadAtencionCodigo,0.9.1,active,,CSModalidadAtencionCodigo,Modalidad Atencion Codigo,"Modalidad Atencion Codigo","ValueSet/VSModalidadAtencionCodigo"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSMotivoCierreInterconsulta,0.9.1,active,,CSMotivoCierreInterconsulta,Motivo Cierre Interconsulta,"Motivo Cierre Interconsulta","ValueSet/VSMotivoCierreInterconsulta"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSMotivoNoContactabilidad,0.9.1,active,,CSMotivoNoContactabilidad,Motivo No Contactabilidad,"Motivo No Contactabilidad","ValueSet/VSMotivoNoContactabilidad"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSMotivoNoPertinenciaCodigo,0.9.1,active,,CSMotivoNoPertinenciaCodigo,Motivo No Pertinencia Codigo,"Motivo No Pertinencia Codigo","ValueSet/VSMotivoNoPertinenciaCodigo"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSPertinenciaInterconsulta,0.9.1,active,,CSPertinenciaInterconsulta,Pertinencia Interconsulta,"Pertinencia Interconsulta","ValueSet/VSPertinenciaInterconsulta"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSPractitionerTipoRolLE,0.9.1,active,,CSPractitionerTipoRolLE,Rol de profesionales,"CodeSystem con códigos definidos para representar cada rol de profesional o funcionario administrativo dentro de la interconsulta","ValueSet/VSPractitionerTipoRolLE"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSPrevisionCodigo,0.9.1,active,,CSPrevisionCodigo,PrevisionCodigo,"PrevisionCodigo","ValueSet/VSPrevisionCodigo"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSProblemaGES,0.9.1,active,,CSProblemaGES,Sospecha Patologia Ges,"Sospecha Patologia Ges","ValueSet/VSProblemaGES"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSReligion,0.9.1,active,,CSReligion,Religion,"Religion","ValueSet/VSReligion"
https://interoperabilidad.minsal.cl/fhir/ig/tei/CodeSystem/CSSexoBiologico,0.9.1,active,,CSSexoBiologico,Códigos para Sexo de Nacimiento de Paciente,"Codigos definidos para el sexo de nacimiento de un paciente en Chile","ValueSet/VSSexoBiologico"
